Zone,NameOfEnterprise,InvestingCountry,Products
Adamjee,A.M.C.S Textiles Limited,UNITED KINGDOM,Garments
Adamjee,Checkpoint Systems Bangladesh Ltd.,CANADA,Garment Accessories
Adamjee,Epic Garments Mfg. Co. Ltd,HONGKONG,Garments
Adamjee,Erum Bangladesh Limited,SPAIN,Garment Accessories
Adamjee,French Fashion Knitting Pvt. Ltd.,HONGKONG,Garments
Adamjee,King Kong Leather Ware (BD) Ltd.,MALAYSIA,Footwear & Leather goods
Adamjee,Kwun Tong Apparels Ltd.,BR. VIRGIN. IS,Garments
Adamjee,Lintas Bangladesh Co. Limited.,NETHERLAND,Garments
Adamjee,Maruhisa Pacific Co. Ltd.,JAPAN,Knitting & other Textile pdt.
Adamjee,NATco Global Packaging Dhaka Ltd.,U.S.A.,Garment Accessories
Adamjee,Newtop Textile BD Ltd.,CHINA,Textile
Adamjee,Progress Apparels (Bangladesh) Limited,INDIA,Garments
Adamjee,R-Pac Bangladesh Packaging Co. Ltd.,U.S.A.,Garment Accessories
Adamjee,Saitonensi Bangladesh Ltd.,JAPAN,Textile
Adamjee,Simba Fashions Limited,INDIA,Garments
Adamjee,SML Packaging Solutions Bangladesh Limited,HONGKONG,Garment Accessories
Adamjee,Super Protective Shoes (Pvt.) Ltd.,UKRAINE,Footwear & Leather goods
Adamjee,Supreme Smartwear Ltd.,HONGKONG,Garments
Adamjee,T & S Buttons (Bangladesh) Ltd.,SINGAPORE,Garment Accessories
Adamjee,T S Tech Bangladesh Limited,JAPAN,Miscellaneous
Adamjee,Tang Fashion Ltd.,CHINA,Garments
Adamjee,Tex Zippers (BD) Ltd.,INDIA,Garment Accessories
Adamjee,Yokohama Labels and Printing (BD) Co. Ltd.,JAPAN,Garment Accessories
Adamjee,CHARMING TRIM & PACKAGING(BD) LTD.,CHINA,Garment Accessories
Adamjee,Kido Dhaka Co. Limited,S. KOREA,Garments
Adamjee,Naturub Apparel Accessories (Pvt.) Ltd.,SRILANKA,Garment Accessories
Adamjee,UBF Bridal Limited,GERMANY,Garments
Adamjee,Ananta Apparels Ltd.,MAURITIUS,Garments
Adamjee,Ananta Huaxiang Limited,SINGAPORE,Knitting & other Textile pdt.
Adamjee,DNV Clothing Ltd.,HONGKONG,Garments
Adamjee,Euro-A Zipper Co. (BD) Ltd.,HONGKONG,Garment Accessories
Adamjee,FEM Wendler Interlining Ltd.,GERMANY,Knitting & other Textile pdt.
Adamjee,Interlabels Robust Bangladesh (Pvt.) Ltd.,INDIA,Garment Accessories
Adamjee,Neo Bangla Limited,S. KOREA,Miscellaneous
Adamjee,UHM Ltd.,JAPAN,Garments
Adamjee,Universal Menswear Ltd.,ROMANIA,Garments
Adamjee,Yester Accessories Company (BD) Ltd.,HONGKONG,Garment Accessories
Adamjee,Yester Jeans Ltd.,CHINA,Garments
Adamjee,CMZ Zipper Sci & Tech (Bd) Co. Ltd.,CHINA,Garment Accessories
Adamjee,Evergreen Cycles Limited,BANGLADESH,Metal Products
Adamjee,Odintex Factory (Bangladesh) Ltd,CHINA,Garments
Adamjee,"Bumsei Co., Ltd.",CHINA,Garments
Adamjee,Exhibit Clothing Ltd.,HONGKONG,Garments
Adamjee,Hy-Lan Sweater International Ltd.,CANADA,Knitting & other Textile pdt.
Adamjee,Lampstar Industries Ltd.,U.S.A.,Electronics & Electrical goods
Adamjee,Adamjee Water Supply Ltd.,BANGLADESH,Miscellaneous
Adamjee,Beka Garments & Textiles Limited,BANGLADESH,Garment Accessories
Adamjee,Hamilton Metal Corporation Ltd.,BANGLADESH,Garment Accessories
Adamjee,Hanzee Industrial Company Limited,BANGLADESH,Garment Accessories
Adamjee,Image SP Packaging Limited,BANGLADESH,Garment Accessories
Adamjee,Maa Composite Ltd.,BANGLADESH,Knitting & other Textile pdt.
Adamjee,Maheen Dizayn Etiket (BD) Limited Unit-2,BANGLADESH,Garment Accessories
Adamjee,Mikhail Plastopak Limited,BANGLADESH,Garment Accessories
Adamjee,Remi Holdings Ltd.,BANGLADESH,Garments
Adamjee,Scandex Knitwear Limited (Unit-2),BANGLADESH,Knitting & other Textile pdt.
Adamjee,Suad Garments Industries Ltd.,BANGLADESH,Garments
Adamjee,Yassma Knitting & Dyeing Ltd.,BANGLADESH,Knitting & other Textile pdt.
Adamjee,Yunusco (BD) Ltd.,BANGLADESH,Garments
Adamjee,Ayesha Fashion Ltd,BANGLADESH,Garments
Adamjee,Banga Plastic International Limited,BANGLADESH,Surgical Towels & Sponges
Adamjee,CG Fashions Ltd,BANGLADESH,Garments
Adamjee,Hamza Fashion Ltd.,BANGLADESH,Garments
Adamjee,Purovite (Bangladesh) Ltd.,BANGLADESH,Miscellaneous
Adamjee,Sigma Powertech Limited,BANGLADESH,Power Industry
Chattogram,Ace Bicycles (Bangladesh) Ltd.,MALAYSIA,Metal Products
Chattogram,Alita (Bangladesh) Limited,MALAYSIA,Metal Products
Chattogram,Apparels JB21 Limited,U.S.A.,Garments
Chattogram,Bangladesh Spinners & Knitters (Pvt) Ltd,HONGKONG,Knitting & other Textile pdt.
Chattogram,BMS Company Limited,JAPAN,Jute Products
Chattogram,BMS Rope Co. Ltd.,JAPAN,Jute Products
Chattogram,Bonshoe Bangladesh Limited,TAIWAN,Footwear & Leather goods
Chattogram,Campex (BD) Limited,U.S.A.,Tent
Chattogram,CBC Optronics (BD) Co. Ltd.,JAPAN,Electronics & Electrical goods
Chattogram,Chittagong Knitwears (Pvt.) Ltd.,HONGKONG,Knitting & other Textile pdt.
Chattogram,Conda Art Materials Bangladesh Co. Ltd.,CHINA,Miscellaneous
Chattogram,Cosmos Shoes International Limited,TAIWAN,Footwear & Leather goods
Chattogram,Dream Bangal Garments Ltd.,JAPAN,Knitting & other Textile pdt.
Chattogram,Ebisawa Corporation Limited,JAPAN,Miscellaneous
Chattogram,ERE Plus (BD) Ltd.,S. KOREA,Garment Accessories
Chattogram,Eurocrystal Company Ltd.,CHINA,Electronics & Electrical goods
Chattogram,Evertobe (BD) Ltd.,S. KOREA,Footwear & Leather goods
Chattogram,Fergasam (Bangladesh) Ltd.,SRILANKA,Garments
Chattogram,Gesinha Outdoor Ltd.,HONGKONG,Tent
Chattogram,GH Haewae Company Ltd.,S. KOREA,Garments
Chattogram,Glen Stationary (Bangladesh) Ltd.,CHINA,Plastic goods
Chattogram,Hana Plastic (Bd) Ltd.,S. KOREA,Plastic goods
Chattogram,Hemple Rhee Manufacturing Co. (BD) Ltd.,S. KOREA,Garments
Chattogram,HHH Accessories Industry Ltd.,S. KOREA,Garment Accessories
Chattogram,HKD (Hi-Tech) Ltd.,S. KOREA,Tent
Chattogram,HKD International (CEPZ) Ltd.,S. KOREA,Tent
Chattogram,HZ International Co. Ltd.,CHINA,Garments
Chattogram,Industrial Hand Protection Ltd.,CANADA,Garments
Chattogram,Intercontinental Technology Ltd.,UNITED KINGDOM,Metal Products
Chattogram,Intimate Creations Limited,HONGKONG,Garments
Chattogram,Jay Jay Mills (Bangladesh) Private Ltd.,INDIA,Textile
Chattogram,JieHong Medical products (BD) Ltd.,CHINA,Miscellaneous
Chattogram,Kang Book Company (BD) Ltd.,S. KOREA,Garments
Chattogram,Karnaphuli Sportswear Ind. Ltd.,S. KOREA,Garments
Chattogram,Kenpark Bangladesh (Pvt.) Ltd.,UNITED KINGDOM,Garments
Chattogram,Lalmai Sportswear Industries Ltd.,S. KOREA,Garments
Chattogram,LCB International (Bd) Ltd.,S. KOREA,Textile
Chattogram,Luna Lite Co. (BD) Ltd.,JAPAN,Electronics & Electrical goods
Chattogram,Majum Knit Ltd.,PAKISTAN,Textile
Chattogram,Mamiya-OP (Bangladesh) Ltd.,JAPAN,Fishing Reel & Golf Equipment
Chattogram,Meiji Industries Ltd.,JAPAN,Metal Products
Chattogram,Merim Co. Ltd.,S. KOREA,Garments
Chattogram,Merimo Limited,S. KOREA,Garments
Chattogram,MZM Fashion Limited,S. KOREA,Garments
Chattogram,MZM Textile Ltd.,S. KOREA,Terrytowel
Chattogram,"Nantong Tongfeng (BD) Co., Ltd",CHINA,Garments
Chattogram,Neo Printech BD Limited,S. KOREA,Garment Accessories
Chattogram,Op-Seed Co. (BD) Ltd.,JAPAN,Electronics & Electrical goods
Chattogram,Pacific Zipper (BD) Ltd.,S. KOREA,Plastic goods
Chattogram,Patenga Footwear (Pvt.) Ltd.,TAIWAN,Footwear & Leather goods
Chattogram,Poong Han Plastic Bd. Ltd.,S. KOREA,Plastic goods
Chattogram,Precision Sanko Co Limited,JAPAN,Electronics & Electrical goods
Chattogram,Premier 1888 Ltd.,CANADA,Garments
Chattogram,R & C Co. Ltd.,CHINA,Tent
Chattogram,Regency Garments Ltd.,U.S.A.,Garments
Chattogram,Regency Three Ltd.,U.S.A.,Garments
Chattogram,S.J. Industrial (BD) Ltd.,S. KOREA,Garment Accessories
Chattogram,Sanko Optical Co. (BD) Ltd.,JAPAN,Electronics & Electrical goods
Chattogram,Shinhan Emulsion Co.(Bd) Ltd.,S. KOREA,Chemical & Fertilizer
Chattogram,Sungho Garments Accessories Ltd.,S. KOREA,Garment Accessories
Chattogram,Sunshine Accessories MFC. BD. Ltd.,CHINA,Miscellaneous
Chattogram,Surma Garments Washing &Finishing Co.Ltd,S. KOREA,Garments
Chattogram,Titas Sportswear Industries Ltd.,S. KOREA,Garments
Chattogram,TK Outdoor Limited,S. KOREA,Garment Accessories
Chattogram,Towellers Bangladesh Ltd.,PAKISTAN,Terrytowel
Chattogram,Tsim s Company (Bangladesh) Ltd.,CHINA,Miscellaneous
Chattogram,U-jin Led Co. (BD) Ltd.,S. KOREA,Electronics & Electrical goods
Chattogram,Unicorn Leather Goods Factory Limited,CHINA,Footwear & Leather goods
Chattogram,Univogue Garments Co. Ltd.,HONGKONG,Garments
Chattogram,UP Apparels & Textile (BD) Ltd.,UNITED KINGDOM,Garments
Chattogram,YKK Bangladesh PTE Ltd.,JAPAN,Garment Accessories
Chattogram,Young An Hat (BD) Ltd.,S. KOREA,Caps
Chattogram,Young An International (BD) Limited,S. KOREA,Caps
Chattogram,Young International (BD) Ltd.,S. KOREA,Textile
Chattogram,Young International Garments (Bd.) Ltd.,S. KOREA,Garments
Chattogram,Young International Knitting (Bd.) Ltd.,S. KOREA,Knitting & other Textile pdt.
Chattogram,Young International Weaving (Bd.) Ltd.,S. KOREA,Knitting & other Textile pdt.
Chattogram,Youngone (CEPZ) Ltd.,S. KOREA,Garments
Chattogram,Youngone Garments Accessories Ind. Ltd,S. KOREA,Garment Accessories
Chattogram,Youngone Padding (CEPZ) ltd.,S. KOREA,Garments
