title,summary,installs,score,ratings,reviews,size,androidVersion,genreId,contentRating,released,updated,version,appId
Asphalt 8 - Car Racing Game,Racing multiplayer online game. Drive cars and motorcycles.,100000000,4.4744434,10191799,280041,177M,5.0,RACING,Everyone 10+,2013-08-20,2022-04-18,6.2.3b,com.gameloft.android.ANMP.GloftA8HM
Asphalt Nitro,Car racing game with luxury licensed brands,100000000,4.2858825,1743070,16204,46M,4.1,RACING,Everyone,2015-11-05,2022-03-21,1.7.5a,com.gameloft.android.ANMP.GloftAGHM
Asphalt 9: Legends,Online multiplayer street auto racing game with high luxury car brands.,50000000,4.4719715,2443874,61954,Varies with device,7.0,RACING,Everyone 10+,2018-07-25,2022-04-28,3.4.5a,com.gameloft.android.ANMP.GloftA9HM
Real Football,Experience soccer both on and off the pitch with Real Football,50000000,3.7666981,970452,4662,31M,4.4,SPORTS,Everyone 10+,2016-09-29,2021-08-24,1.7.2,com.gameloft.android.ANMP.GloftR7HM
Sniper Fury: Shooting Game,A 3D sniping game to hunt elite hitmen and shooter assassins. Ready to snipe?,50000000,4.3248034,1025668,20414,71M,5.0,ACTION,Mature 17+,2015-12-02,2022-02-02,6.2.2a,com.gameloft.android.ANMP.GloftFWHM
N.O.V.A. Legacy,N.O.V.A. Legacy game; multiplayer FPS experience,50000000,3.9989161,1592747,32576,45M,4.0.3,ACTION,Everyone 10+,2017-03-27,2020-10-15,5.8.3c,com.gameloft.android.ANMP.GloftNOHM
Gangstar Vegas: World of Crime,RPG crime and mafia online game set in Las Vegas,100000000,4.3345423,6556484,174148,51M,5.0,ACTION,Mature 17+,2013-06-19,2022-03-30,5.6.0k,com.gameloft.android.ANMP.GloftGGHM
Gangstar New Orleans,Action game mafia style in an open-world. Join gangs and combat along,10000000,4.3723617,781373,22164,66M,4.1,ROLE_PLAYING,Mature 17+,2017-03-29,2021-07-14,2.1.1a,com.gameloft.android.ANMP.GloftOLHM
World at Arms,World at Arms is the groundbreaking modern-war strategy game by Gameloft!,10000000,4.205989,763324,38186,34M,4.0.3,STRATEGY,Teen,2012-11-28,2018-05-25,4.2.4d,com.gameloft.android.ANMP.GloftMTHM
GT Racing 2: real car game,Automotive with A-list cars for a racing experience journey,10000000,4.408498,1794214,67753,31M,4.1,RACING,Everyone,2013-11-14,2021-10-29,1.6.1c,com.gameloft.android.ANMP.GloftRAHM
Modern Combat 5: mobile FPS,Team first time shooter challenges. Shooting classes and modern combat style,100000000,4.4961934,3716885,104630,53M,5.0,ACTION,Mature 17+,2014-07-23,2021-10-07,5.8.7a,com.gameloft.android.ANMP.GloftM5HM
Minion Rush: Running Game,Official Minions and Despicable Me endless runner game,500000000,4.5919003,10724213,608639,127M,5.0,CASUAL,Everyone 10+,2013-06-13,2022-02-03,8.3.1a,com.gameloft.android.ANMP.GloftDMHM
My Little Pony: Magic Princess,Official game to adventure with Twilight Sparkle- Rainbow Dash & more ponies,50000000,4.2731447,1451476,71686,53M,4.4,CASUAL,Everyone,2012-11-08,2022-04-14,7.5.1a,com.gameloft.android.ANMP.GloftPOHM
Brothers in Arms 3,Multiplayer shooting action combat World War 2 game,10000000,4.456277,1488609,27230,47M,4.1,ARCADE,Mature 17+,2014-12-17,2022-02-10,1.5.4a,com.gameloft.android.ANMP.GloftA3HM
Iron Blade: Medieval Legends,Medieval RPG game with demons- darkness and war. Make a hero and grab the sword,10000000,4.202603,345286,9644,43M,4.4,ACTION,Mature 17+,2017-05-24,2020-09-29,2.3.0h,com.gameloft.android.ANMP.GloftHFHM
Dragon Mania Legends,Magical dragon game. Merge or collect dragons in a city and fight battles,100000000,4.4488373,2955018,83040,Varies with device,5.0,ADVENTURE,Everyone,2015-01-07,2022-04-19,Varies with device,com.gameloft.android.ANMP.GloftDOHM
