title,summary,installs,score,ratings,reviews,size,androidVersion,developer,genreId,icon,contentRating,containsAds,released,updated,version,similarApps,url
BYJU'S – The Learning App,"Engaging video lessons, live classes, personalised learning, unlimited practice",100000000.0,4.1220655,1745108.0,947.0,167M,5.0,BYJU'S,EDUCATION,https://play-lh.googleusercontent.com/rFv7fIYW4u6h-M8nt4P-A5R7-8unCYOiswLw14NTKUp6yQRAVTWJQL3I1SRjvfSVLg,Everyone,False,"Jul 6, 2015",1651664753.0,10.1.1.13300,"['com.instapreps', 'com.noonEdu.k12App', 'com.chegg', 'com.bodhiaiteacherflutter.in', 'org.khanacademy.android']",https://play.google.com/store/apps/details?id=com.byjus.thelearningapp&hl=en&gl=us
Duolingo: language lessons,"Learn Spanish, French, German, Italian, English and more languages for free.",100000000.0,4.5738,12512116.0,592133.0,Varies with device,Varies,Duolingo,EDUCATION,https://play-lh.googleusercontent.com/hSyebBlYwtE2aMjzSIHasUO9cQv9HgNAw9owy6ADO0szOKYO3rDk60r7jcyXu82Fbq1M,Everyone,True,"May 29, 2013",1652121759.0,Varies with device,"['com.pinterest', 'com.memrise.android.memrisecompanion', 'wp.wattpad', 'com.digidust.elokence.akinator.freemium', 'com.netflix.mediaclient']",https://play.google.com/store/apps/details?id=com.duolingo&hl=en&gl=us
"IIT JEE, NEET, NCERT Solutions","NCERT Solutions, CBSE, Board, IIT JEE, NEET Prep, Homework Study & Learning App",50000000.0,4.22,574552.0,307.0,22M,5.0,Doubtnut: Doubt Solving & Video Solutions App,EDUCATION,https://play-lh.googleusercontent.com/t5KqZtPT5F-eL5gHNr9LTqFbiZcTzvUSFH_APnPCNxX069-3ORfR1qNhodYJ58IwrQ,Everyone,False,"Oct 14, 2016",1652125525.0,7.9.67,"['com.chegg', 'com.instapreps', 'com.noonEdu.k12App', 'co.brainly', 'com.hdictionary.bn']",https://play.google.com/store/apps/details?id=com.doubtnutapp&hl=en&gl=us
Unacademy Learner App,"Interact with India’s Top Educators and take Live Classes, Mock Tests & Quizzes",50000000.0,3.3584905,951700.0,452.0,Varies with device,Varies,Unacademy,EDUCATION,https://play-lh.googleusercontent.com/DT0jm91vA_rOkxwatXhI4yVpjU4KI0augje6ZJGYxEyNjKvIhcQt8npiLHf5-ydclsqe,Everyone,False,"Feb 15, 2017",1651833530.0,Varies with device,"['com.instapreps', 'com.noonEdu.k12App', 'com.chegg', 'org.khanacademy.android', 'com.udemy.android']",https://play.google.com/store/apps/details?id=com.unacademyapp&hl=en&gl=us
Noon Academy – Student Learning App,Learn from the best teachers with your friends – grades 7 to 12 and university,10000000.0,4.2523365,103191.0,459.0,52M,5.0,Noon Academy,EDUCATION,https://play-lh.googleusercontent.com/23u77l3Az6tPHZ1Sv1RBVk2qMG4ZgWENEZR9kIIx7ATAynfZI52Ys82uMCNNl4cvp1M,Everyone,False,"Mar 12, 2017",1652216183.0,4.6.32,"['com.chegg', 'com.instapreps', 'com.guruvise.dev', 'org.khanacademy.android', 'com.synkers.synkers']",https://play.google.com/store/apps/details?id=com.noonEdu.k12App&hl=en&gl=us
Cambly - English Teacher,Practice English over video chat with a native speaker!,10000000.0,4.171521,126401.0,1352.0,99M,5.0,Cambly,EDUCATION,https://play-lh.googleusercontent.com/SEzZzN93NsArB73OAa3I189OzGSmgHX9oE9h3M7WcibKbt096zHfhXw4UxDvh4JF77c,Everyone,False,"Feb 17, 2014",1651033831.0,5.1.2,"['com.englishcentral.android.app', 'us.nobarriers.elsa', 'me.mycake', 'com.englishscore', 'com.abaenglish.videoclass']",https://play.google.com/store/apps/details?id=com.cambly.cambly&hl=en&gl=us
Edmodo,Classroom & School Messaging Tools,10000000.0,3.9538593,459326.0,15292.0,Varies with device,5.0,"Edmodo, Inc",EDUCATION,https://play-lh.googleusercontent.com/R2bL4maiOlPdGfIeFSn0cOYQDsKxwgzS79mtgx0oIEZIGD4DZdhe7tWZ-IXUTJ-m04A,Everyone,True,"Nov 2, 2010",1647559958.0,10.48.0,"['com.ixl.ixlmath', 'com.classdojo.android', 'org.brilliant.android', 'no.mobitroll.kahoot.android', 'com.slatescience.Matific']",https://play.google.com/store/apps/details?id=com.fusionprojects.edmodo&hl=en&gl=us
Quizlet: Languages & Vocab,"The top study app for flashcards, languages and learning",10000000.0,4.673288,466157.0,49990.0,Varies with device,Varies,Quizlet Inc.,EDUCATION,https://play-lh.googleusercontent.com/hiQHKRhpuGu4pWAFhpto9H7qWKSdX-BjKbDAtZYgm_jfoD0cN7MCllGOn6L3XWo-6Q,Everyone,True,"Aug 20, 2013",1652224566.0,Varies with device,"['com.studysmarter', 'com.quizizz_mobile', 'com.lexilize.fc', 'com.memrise.android.memrisecompanion', 'com.ichi2.anki']",https://play.google.com/store/apps/details?id=com.quizlet.quizletandroid&hl=en&gl=us
Udemy - Online Courses,"Achieve your goals with online courses in Coding, Python, and more.",10000000.0,4.353716,357547.0,13123.0,32M,6.0,Udemy,EDUCATION,https://play-lh.googleusercontent.com/dsCkmJE2Fa8IjyXERAcwc5YeQ8_NvbZ4_OI8LgqyjILpXUfS5YhEcnAMajKPrZI-og,Everyone,False,"Jan 14, 2014",1651761883.0,7.27.1,"['org.coursera.android', 'com.linkedin.android.learning', 'org.domestika', 'org.edx.mobile', 'com.skillshare.Skillshare']",https://play.google.com/store/apps/details?id=com.udemy.android&hl=en&gl=us
Teachmint - The Classroom App,"Manage classes, take quizzes, homework, monitor attendance, performance and more",10000000.0,3.9672132,134739.0,25.0,44M,5.0,Teachmint Technologies,EDUCATION,https://play-lh.googleusercontent.com/suLFmU1eAFbVGRsduBZzLv70AGzCMlkZleL7lXsjCIoKdins91_oKhk9volTgjQdWT4,Everyone,False,"Jun 13, 2020",1652294692.0,5.18.0,"['com.bodhiaiteacherflutter.in', 'com.chegg', 'com.instapreps', 'com.noonEdu.k12App', 'com.inconceptlabs.liveboard']",https://play.google.com/store/apps/details?id=com.teachmint.teachmint&hl=en&gl=us
